country_name,usd
China,35610954151
Estados Unidos,10904901448
Argentina,4736123103
"Países Baixos (Holanda),",3779243032
Índia,3302770956
Espanha,2794870750
Singapura,2620710447
México,2519759343
Canadá,2459515850
Alemanha,2271206039
